"site_id","site_code","site_name"
704653,"0243294",沈阳沈北物流
764419,"020300063",广州新塘白江S
791083,"354300013",榆次启源达
22968,"5107203",宜兴市区
787067,"551600003",合肥分拨市区派送部
751692,"532300008",青岛黄岛奋进路
804311,"574300095",宁波东吴镇S
3177,"0213014",上海普陀
485607,"5123599",张家港兆丰东S
723729,"5123732",太仓物流园S
763647,"415300005",丹东曙光S
767019,"516300026",徐州云龙万达S
767583,"021300111",嘉定文胜S
4319,"5743031",宁波北仑新碶
2410,"7693085",东莞横沥西城
15024,"7713028",广西龙州
687682,"5793333",金华市秋滨
759698,"769300043",长安新安S
802062,"513300081",海安家具城S
803483,"728300007",潜江
463607,"5133179",如皋工业园
792747,"573300062",嘉兴干窑S
7035,"0233093",重庆杨家坪
790362,"756300011",三乡南部
791700,"512300165",苏州滨湖大道S
17323,"4763016",赤峰林西县林西镇
389623,"3713112",郑州天河路
761077,"317600003",保定分拨直送部
791119,"512300161",苏州吴江七都镇S
14534,"8973001",西藏阿里
750740,"595300006",鲤城延陵
771830,"028300079",新都七七国际
788168,"759300008",湛江遂溪县
792104,"020300159",太和镇区S
800006,"533300024",周村南郊S
377631,"5356004",烟台分拨派送部
383651,"7516002",韶关分拨派送部
383663,"0276025",武昌分拨派送部
383706,"5726003",湖州分拨派送部
383714,"5936003",宁德分拨派送部
386605,"4333014",延吉延东
393800,"7553238",深圳公明根竹园S
393855,"0203305",广州芳村
393880,"5743104",宁波奉化天之星S
397671,"4373201",吉林辽源K
397676,"4393201",吉林白山K
397924,"4553211",黑龙江绥棱K
397941,"4683203",黑龙江宝泉岭农场K
397963,"8723216",云南大理洱源K
397969,"5123506",苏州市区若水路SK
398000,"7553281",龙岗嶂坳K
398041,"5133206",江苏如皋城南K
398071,"7553301",福田会展中心K
398094,"5353234",山东栖霞K
398124,"5103235",无锡钱桥K
398161,"7553323",坂田华为基地K
398175,"0283221",成都彭州K
398262,"4723222",包头传化公路港K
398290,"5103201",无锡北塘K
398330,"0283355",成都金牛K
398337,"7553360",福永捷诚K
398371,"7553409",宝安建安K
398383,"0283374",郫都区团结镇K
398461,"0293211",西安长安科技K
398463,"5313244",济南长清区K
398470,"0293214",西安草滩K
398518,"7563244",金湾红旗K
398558,"7563253",珠海永福K
398559,"5373229",济宁鱼台K
398663,"5713466",杭州上城K
398732,"7583209",肇庆金渡K
398733,"5713492",杭州日立K
398834,"7593208",湛江廉江K
398851,"0593214",厦门同安西柯K
398878,"7597232",湛江寸金K
398894,"5723209",湖州南浔马腰K
398954,"9113216",延安枣园镇K
398956,"5233229",江苏陈堡K
398971,"5733204",嘉兴飞翔K
398976,"7603234",中山中区K
398987,"3713268",郑州经开一大街K
399002,"7603241",中山新南区K
399058,"3713284",郑州英才街K
399086,"0213548",上海浦东下沙K
399099,"0213559",上海奉贤柘林K
399168,"5313208",山东济南济阳K
399179,"5313213",山东济南商河K
399180,"3733207",河南新乡红旗K
399182,"7693202",东莞长安K
399245,"9353206",甘肃陇源市场K
399247,"3113326",河北石家庄赵县K
399251,"0213602",松江漕河泾K
399322,"5513229",合肥瑶海K
399331,"5513233",安徽六安K
399339,"5513236",池州K
399370,"7693296",东莞石碣鹤田K
399373,"9513219",银川滨河新区K
399456,"7693315",东莞市万江K
399458,"5513282",长丰岗集K
399490,"9723205",青海海东乐都区K
399504,"0233378",秀山县官庄K
399522,"7693328",东城市区K
399593,"0233402",重庆酉阳县城K
399663,"5733250",浙江桐乡崇福K
399672,"0223332",天津河北建昌道K
399715,"5733286",浙北海宁K
399759,"3133227",张家口赤城县K
399764,"0233271",重庆西彭K
399769,"7713256",大新K
399810,"3553205",山西长治屯留K
399834,"3573202",山西临汾吉县K
399852,"3703201",河南商丘西K
399993,"5763228",台州路桥K
400020,"4313224",长春宽城海达路K
400080,"5773220",温州滨海园区K
400171,"5103325",无锡新区坊前SK
400243,"5113239",扬中久久K
400260,"5123447",苏州八坼K
400306,"6913211",西双版纳曼听K
400350,"7313371",浏阳城区K
400402,"5513318",合肥大杨镇K
400437,"8123208",攀枝花市瓜子坪K
400454,"8123214",攀枝花渔门镇K
400509,"7723212",广西来宾K
400542,"8163226",新绵阳江油K
400567,"7733217",桂林象山K
400568,"8163239",江油武都K
20648,"8553008",贵州榕江
787057,"432300012",吉林市昌邑
3069,"7553075",宝运达
17734,"0213206",奉贤化工区
773804,"752300016",白云坑S
775946,"028300084",温江永盛
2603,"7523007",惠州惠阳秋长
445619,"0213491",松江新桥镇
453984,"0293119",陕西咸阳礼泉县
777447,"731300077",宁乡乡镇S
26895,"9133020",陕西蒲城
666688,"7173038",宜昌伍家区
756792,"595300009",泉州青阳
25797,"3123040",保定涞源
429642,"7553242",龙岗同乐
649740,"3583219",山西临县
788298,"317300035",河北献县陌南镇
3694,"5133014",南通通州平潮
800056,"573300065",浙江梧桐S
4334,"5743018",宁波科技园
677701,"8333239",乐山家居
10263,"8513034",贵阳花溪
10360,"7555007",深圳会员卓尔
10375,"8523012",遵义正安
10439,"5583006",阜阳瑶海
10670,"0103152",昌平大东流
10824,"5735002",嘉兴会员杨霞
10875,"0213132",奉贤南桥中心城区
10961,"4113007",大连甘井子华南
11326,"7517006",韶关马坝
11713,"7223001",湖北广水
11775,"5757047",新昌市区
11777,"7913036",南昌孺子路
12044,"0275007",武汉会员鑫思远
12328,"5713101",桐庐
12410,"5126003",昆山派送部
12413,"5983008",福建三明建宁
12805,"9393003",甘肃陇南市
12925,"8985001",海口营业部
12929,"7536001",梅州江南D
12957,"0223045",天津东丽张贵庄
12985,"3123025",保定曲阳
